label,schema,short,vaf,identify
,/Home_visit_version3/start,start,,yes
,/Home_visit_version3/end,end,,yes
:Date of Visit:,/Home_visit_version3/Date_of_HV,Date.of.Visit.,,
Volunteer::Name:,/Home_visit_version3/Volunteer_Information/Name_Of_Volunteer,Volunteer..Name.,,yes
Volunteer::Phone Number:,/Home_visit_version3/Volunteer_Information/Phone_Number,Volunteer..Phone.Number.,,yes
Volunteer::Home Visit ::Urgent,/Home_visit_version3/Volunteer_Information/urgent:Urgent,Volunteer..Home.Visit...Urgent,,yes
Volunteer::Home Visit ::Normal,/Home_visit_version3/Volunteer_Information/urgent:Normal,Volunteer..Home.Visit...Normal,,yes
Volunteer::Home Visit ::In Field,/Home_visit_version3/Volunteer_Information/urgent:Referred_by_field,Volunteer..Home.Visit...In.Field,,yes
Volunteer::IRD List Number :,/Home_visit_version3/Volunteer_Information/IRD_List,Volunteer..IRD.List.Number..,,yes
Volunteer::Case Status ::Reachable,/Home_visit_version3/Volunteer_Information/Case_Status:Reachable,Volunteer..Case.Status...Reachable,,yes
Volunteer::Case Status ::Unreachable,/Home_visit_version3/Volunteer_Information/Case_Status:Unreachable,Volunteer..Case.Status...Unreachable,,yes
Volunteer::Case Status ::Refused Visit,/Home_visit_version3/Volunteer_Information/Case_Status:Refused_Visit,Volunteer..Case.Status...Refused.Visit,,yes
Volunteer::Case Status ::person is dead,/Home_visit_version3/Volunteer_Information/Case_Status:person_is_dead,Volunteer..Case.Status...person.is.dead,,yes
Volunteer::Case Status ::out of county,/Home_visit_version3/Volunteer_Information/Case_Status:out_of_county,Volunteer..Case.Status...out.of.county,,yes
Volunteer::Case Status ::merging with another  file number,/Home_visit_version3/Volunteer_Information/Case_Status:merging_another__file_number,Volunteer..Case.Status...merging.with.another..file.number,,yes
Volunteer::Case Status ::out of IRD restriction,/Home_visit_version3/Volunteer_Information/Case_Status:out_of_IRD_restriction,Volunteer..Case.Status...out.of.IRD.restriction,,yes
Household information:address :,/Home_visit_version3/HHG/HHg1q4,Household.information.address..,,yes
Household information:UNHCR File Number,/Home_visit_version3/HHG/HHG1q1,Household.information.UNHCR.File.Number,,yes
Household information:Name of Principal Applicant,/Home_visit_version3/HHG/HHG1q2,Household.information.Name.of.Principal.Applicant,,yes
Household information:Family Size,/Home_visit_version3/HHG/HHG1q3,Household.information.Family.Size,,
Household information:Governorate:,/Home_visit_version3/HHG/hhg1q5,Household.information.Governorate.,,
Household information:District:,/Home_visit_version3/HHG/hhg1q6,Household.information.District.,,
Household information:Telephone(s):,/Home_visit_version3/HHG/hhg1q7,Household.information.Telephone..s..,,yes
Household information:Alternative phone(s):,/Home_visit_version3/HHG/hhg1q8,Household.information.Alternative.phone..s..,,yes
1.2 Specify identification documentations:UNHCR File Number,/Home_visit_version3/unhcrfilenumber/r1/UNHCR_File_Number,Specify.identification.documentations.UNHCR.File.Number,,yes
1.2 Specify identification documentations:Relationship,/Home_visit_version3/unhcrfilenumber/r1/Relationship,Specify.identification.documentations.Relationship,,
1.2 Specify identification documentations:Receiving UNHCR cash assistance:Yes,/Home_visit_version3/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:Yes,Specify.identification.documentations.Receiving.UNHCR.cash.assistance.Yes,,
1.2 Specify identification documentations:Receiving UNHCR cash assistance:No,/Home_visit_version3/unhcrfilenumber/r1/Receiving_UNHCR_cash_assistance:No,Specify.identification.documentations.Receiving.UNHCR.cash.assistance.No,,yes
Information about family members who are living in the same house and NOT registered with UNHCR:Name,/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/NAME,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Name,,yes
Information about family members who are living in the same house and NOT registered with UNHCR:Relationship :,/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Relationship,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Relationship..,,yes
Information about family members who are living in the same house and NOT registered with UNHCR:Family Size,/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/FS,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Family.Size,,yes
Information about family members who are living in the same house and NOT registered with UNHCR:Age,/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/Age,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Age,,yes
Information about family members who are living in the same house and NOT registered with UNHCR:Notes,/Home_visit_version3/NOT_registered_with_UNHCR/NOT_registered_with_UNHCR_repeat/note,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Notes,,yes
Type of Housing:Type of Housing (Based on the volunteer`s observations):Permanent Shelter (structurally durable sound building with permanent materials/cement),/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a1,Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Permanent.Shelter..structurally.durable.sound.building.with.permanent.materials..cement..,yes,
Type of Housing:Type of Housing (Based on the volunteer`s observations):Transitional Shelter (caravan. mud hut. tin or wood structure. scrap material),/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a2,Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Transitional.Shelter..caravan..mud.hut..tin.or.wood.structure..scrap.material..,yes,
Type of Housing:Type of Housing (Based on the volunteer`s observations):Temporary/emergency shelter (tent),/Home_visit_version3/HG/HG1/hg1q1_VAF:hg1q1a3,Type.of.Housing.Type.of.Housing..Based.on.the.volunteers.observations..Temporary..emergency.shelter..tent..,yes,
Type of Housing:Number of family members in the house (both in the same file number or in another file):,/Home_visit_version3/HG/HG1/hg1q2_VAF,Type.of.Housing.Number.of.family.members.in.the.house..both.in.the.same.file.number.or.in.another.file..,yes,
Type of Housing:Number of rooms excluding the kitchen & WASH facilities:,/Home_visit_version3/HG/HG1/hg1q3,Type.of.Housing.Number.of.rooms.excluding.the.kitchen.and.WASH.facilities.,,
Type of Housing:Total area excluding the kitchen & WASH facilities (Sq. meter):,/Home_visit_version3/HG/HG1/hg1q18_VAF,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities..Sq..meter..,yes,
Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:< 3.5mý,/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa1,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person.less.3.5m2,yes,
Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:3.5mý,/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa2,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person.3.5m2,yes,
Type of Housing:Total area excluding the kitchen & WASH facilities : Area/person:> 3.5mý,/Home_visit_version3/HG/HG1/hg1q4_VAF:hg1q4_VAFa3,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area..person.more.3.5m2,yes,
Type of Housing:Access to kitchen::Yes,/Home_visit_version3/HG/HG1/hg1q5:Yes,Type.of.Housing.Access.to.kitchen..Yes,,
Type of Housing:Access to kitchen::No,/Home_visit_version3/HG/HG1/hg1q5:No,Type.of.Housing.Access.to.kitchen..No,,
Type of Housing:If Yes ::Inside the house,/Home_visit_version3/HG/HG1/hg1q6:hg1q5a1,Type.of.Housing.If.Yes...Inside.the.house,,
Type of Housing:If Yes ::Outside the house,/Home_visit_version3/HG/HG1/hg1q6:hg1q5a2,Type.of.Housing.If.Yes...Outside.the.house,,
Type of Housing:Access to sanitary facilities::Yes,/Home_visit_version3/HG/HG1/hg1q7:Yes,Type.of.Housing.Access.to.sanitary.facilities..Yes,,
Type of Housing:Access to sanitary facilities::No,/Home_visit_version3/HG/HG1/hg1q7:No,Type.of.Housing.Access.to.sanitary.facilities..No,,
Type of Housing:If Yes ::Inside the house,/Home_visit_version3/HG/HG1/hg1q8:hg1q6a1,Type.of.Housing.If.Yes...Inside.the.house,,
Type of Housing:If Yes ::Outside the house,/Home_visit_version3/HG/HG1/hg1q8:hg1q6a2,Type.of.Housing.If.Yes...Outside.the.house,,
Type of Housing:Ventilation::Yes,/Home_visit_version3/HG/HG1/hg1q9:Yes,Type.of.Housing.Ventilation..Yes,,
Type of Housing:Ventilation::No,/Home_visit_version3/HG/HG1/hg1q9:No,Type.of.Housing.Ventilation..No,,
Type of Housing:If Yes ::Windows,/Home_visit_version3/HG/HG1/hg1q10:hg1q9a1,Type.of.Housing.If.Yes...Windows,,
Type of Housing:If Yes ::Doors,/Home_visit_version3/HG/HG1/hg1q10:hg1q9a2,Type.of.Housing.If.Yes...Doors,,
Type of Housing:If Yes ::Tubes/openings,/Home_visit_version3/HG/HG1/hg1q10:hg1q9a3,Type.of.Housing.If.Yes...Tubes..openings,,
Type of Housing:Access to electricity::Yes,/Home_visit_version3/HG/HG1/hg1q11:Yes,Type.of.Housing.Access.to.electricity..Yes,,
Type of Housing:Access to electricity::No,/Home_visit_version3/HG/HG1/hg1q11:No,Type.of.Housing.Access.to.electricity..No,,
Type of Housing:Location of house::Basement,/Home_visit_version3/HG/HG1/hg1q12:hg1q11a1,Type.of.Housing.Location.of.house..Basement,,
Type of Housing:Location of house::Above ground level,/Home_visit_version3/HG/HG1/hg1q12:hg1q11a2,Type.of.Housing.Location.of.house..Above.ground.level,,
Type of Housing:Location of house::Roof level,/Home_visit_version3/HG/HG1/hg1q12:hg1q11a3,Type.of.Housing.Location.of.house..Roof.level,,
Type of Housing:Please specify if any of the following is observed::Damp walls,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a1,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Damp.walls,,
Type of Housing:Please specify if any of the following is observed::Leaking roofs,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a2,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Leaking.roofs,,
Type of Housing:Please specify if any of the following is observed::Hygienic concerns,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a3,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Hygienic.concerns,,
Type of Housing:Please specify if any of the following is observed::Privacy concern,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a4,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Privacy.concern,,
Type of Housing:Please specify if any of the following is observed::Rodents,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a5,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Rodents,,
Type of Housing:Please specify if any of the following is observed::Poor insulation (winter & summer),/Home_visit_version3/HG/HG1/hg1q15:hg1q14a6,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..Poor.insulation..winter.and.summer..,,
Type of Housing:Please specify if any of the following is observed::broken windows,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a7,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..broken.windows,,
Type of Housing:Please specify if any of the following is observed::NA,/Home_visit_version3/HG/HG1/hg1q15:hg1q14a8,Type.of.Housing.Please.specify.if.any.of.the.following.is.observed..NA,,
Type of Housing:Assets ::Floor mattress,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a1,Type.of.Housing.Assets...Floor.mattress,,
Type of Housing:Assets ::Sofa set,/Home_visit_version3/HG/HG1/hg1q17:hg1q17a2,Type.of.Housing.Assets...Sofa.set,,
