,#NAME?,start
,#NAME?,end
:Date of Visit:,#NAME?,Date.of.Visit.
Volunteer::Name:,#NAME?,Volunteer..Name.
Volunteer::Phone Number:,#NAME?,Volunteer..Phone.Number.
Volunteer::Home Visit ::Urgent,#NAME?,Volunteer..Home.Visit...Urgent
Volunteer::Home Visit ::Normal,#NAME?,Volunteer..Home.Visit...Normal
Volunteer::Home Visit ::In Field,#NAME?,Volunteer..Home.Visit...In.Field
Volunteer::IRD List Number :,#NAME?,Volunteer..IRD.List.Number..
Volunteer::Case Status ::Reachable,#NAME?,Volunteer..Case.Status...Reachable
Volunteer::Case Status ::Unreachable,#NAME?,Volunteer..Case.Status...Unreachable
Volunteer::Case Status ::Refused Visit,#NAME?,Volunteer..Case.Status...Refused.Visit
Volunteer::Case Status ::person is dead,#NAME?,Volunteer..Case.Status...person.is.dead
Volunteer::Case Status ::out of county,#NAME?,Volunteer..Case.Status...out.of.county
Volunteer::Case Status ::merging with another  file number,#NAME?,Volunteer..Case.Status...merging.with.another..file.number
Volunteer::Case Status ::out of IRD restriction,#NAME?,Volunteer..Case.Status...out.of.IRD.restriction
Household information:address :,#NAME?,Household.information.address..
Household information:UNHCR File Number,#NAME?,Household.information.UNHCR.File.Number
Household information:Name of Principal Applicant,#NAME?,Household.information.Name.of.Principal.Applicant
Household information:Family Size,#NAME?,Household.information.Family.Size
Household information:Governorate:,#NAME?,Household.information.Governorate.
Household information:District:,#NAME?,Household.information.District.
Household information:Telephone(s):,#NAME?,Household.information.Telephone-s-.
Household information:Alternative phone(s):,#NAME?,Household.information.Alternative.phone-s-.
1.2 Specify identification documentations:UNHCR File Number,#NAME?,Specify.identification.documentations.UNHCR.File.Number
1.2 Specify identification documentations:Relationship,#NAME?,Specify.identification.documentations.Relationship
1.2 Specify identification documentations:Receiving UNHCR cash assistance:Yes,#NAME?,Specify.identification.documentations.Receiving.UNHCR.cash.assistance.Yes
1.2 Specify identification documentations:Receiving UNHCR cash assistance:No,#NAME?,Specify.identification.documentations.Receiving.UNHCR.cash.assistance.No
Information about family members who are living in the same house and NOT registered with UNHCR:Name,#NAME?,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Name
Information about family members who are living in the same house and NOT registered with UNHCR:Relationship :,#NAME?,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Relationship..
Information about family members who are living in the same house and NOT registered with UNHCR:Family Size,#NAME?,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Family.Size
Information about family members who are living in the same house and NOT registered with UNHCR:Age,#NAME?,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Age
Information about family members who are living in the same house and NOT registered with UNHCR:Notes,#NAME?,Information.about.family.members.who.are.living.in.the.same.house.and.NOT.registered.with.UNHCR.Notes
Type of Housing:Type of Housing (Based on the volunteer`s observations):Permanent Shelter (structurally durable sound building with permanent materials-cement),#NAME?,Type.of.Housing.Type.of.Housing.-Based.on.the.volunteer`s.observations-.Permanent.Shelter.-structurally.durable.sound.building.with.permanent.materials-cement-
Type of Housing:Type of Housing (Based on the volunteer`s observations):Transitional Shelter (caravan. mud hut. tin or wood structure. scrap material),#NAME?,Type.of.Housing.Type.of.Housing.-Based.on.the.volunteer`s.observations-.Transitional.Shelter.-caravan..mud.hut..tin.or.wood.structure..scrap.material-
Type of Housing:Type of Housing (Based on the volunteer`s observations):Temporary-emergency shelter (tent),#NAME?,Type.of.Housing.Type.of.Housing.-Based.on.the.volunteer`s.observations-.Temporary-emergency.shelter.-tent-
Type of Housing:Number of family members in the house (both in the same file number or in another file):,#NAME?,Type.of.Housing.Number.of.family.members.in.the.house.-both.in.the.same.file.number.or.in.another.file-.
Type of Housing:Number of rooms excluding the kitchen & WASH facilities:,#NAME?,Type.of.Housing.Number.of.rooms.excluding.the.kitchen.and.WASH.facilities.
Type of Housing:Total area excluding the kitchen & WASH facilities (Sq. meter):,#NAME?,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities.-Sq..meter-.
Type of Housing:Total area excluding the kitchen & WASH facilities : Area-person:< 3.5mý,#NAME?,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area-person.-.3.5m2
Type of Housing:Total area excluding the kitchen & WASH facilities : Area-person:3.5mý,#NAME?,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area-person.3.5m2
Type of Housing:Total area excluding the kitchen & WASH facilities : Area-person:> 3.5mý,#NAME?,Type.of.Housing.Total.area.excluding.the.kitchen.and.WASH.facilities...Area-person.-.3.5m2
Type of Housing:Access to kitchen::Yes,#NAME?,Type.of.Housing.Access.to.kitchen..Yes
Type of Housing:Access to kitchen::No,#NAME?,Type.of.Housing.Access.to.kitchen..No
Type of Housing:If Yes ::Inside the house,#NAME?,Type.of.Housing.If.Yes...Inside.the.house
Type of Housing:If Yes ::Outside the house,#NAME?,Type.of.Housing.If.Yes...Outside.the.house
Type of Housing:Access to sanitary facilities::Yes,#NAME?,Type.of.Housing.Access.to.sanitary.facilities..Yes
Type of Housing:Access to sanitary facilities::No,#NAME?,Type.of.Housing.Access.to.sanitary.facilities..No
Type of Housing:If Yes ::Inside the house,#NAME?,Type.of.Housing.If.Yes...Inside.the.house
Type of Housing:If Yes ::Outside the house,#NAME?,Type.of.Housing.If.Yes...Outside.the.house
Type of Housing:Ventilation::Yes,#NAME?,Type.of.Housing.Ventilation..Yes
Type of Housing:Ventilation::No,#NAME?,Type.of.Housing.Ventilation..No
Type of Housing:If Yes ::Windows,#NAME?,Type.of.Housing.If.Yes...Windows
Type of Housing:If Yes ::Doors,#NAME?,Type.of.Housing.If.Yes...Doors
Type of Housing:If Yes ::Tubes-openings,#NAME?,Type.of.Housing.If.Yes...Tubes-openings
Type of Housing:Access to electricity::Yes,#NAME?,Type.of.Housing.Access.to.electricity..Yes
